jn	abs	pmid
11. Cell Death Differ. 2015 Dec;22(12):2123-32. doi: 10.1038/cdd.2015.62. Epub 2015	Jun 5.  AKT1-mediated Lamin A/C degradation is required for nuclear degradation and normal epidermal terminal differentiation.  Naeem AS(1,)(2), Zhu Y(1,)(2), Di WL(1,)(2), Marmiroli S(3), O'Shaughnessy RF(1,)(2).  Author information:  (1)Immunobiology and Dermatology, UCL Institute of Child Health, London, UK. (2)Livingstone Skin Research Centre, UCL Institute of Child Health, London, UK. (3)Department of Surgery, Medicine and Dentistry, Università degli Studi di Modena e Reggio Emilia, Modena, Italy.  Nuclear degradation is a key stage in keratinocyte terminal differentiation and the formation of the cornified envelope that comprises the majority of epidermal  barrier function. Parakeratosis, the retention of nuclear material in the cornified layer of the epidermis, is a common histological observation in many skin diseases, notably in atopic dermatitis and psoriasis. Keratinocyte nuclear degradation is not well characterised, and it is unclear whether the retained nuclei contribute to the altered epidermal differentiation seen in eczema and psoriasis. Loss of AKT1 function strongly correlated with parakeratosis both in eczema samples and in organotypic culture models. Although levels of DNAses, including DNase1L2, were unchanged, proteomic analysis revealed an increase in Lamin A/C. AKT phosphorylates Lamin A/C, targeting it for degradation. Consistent with this, Lamin A/C degradation was inhibited and Lamin A/C was observed in the  cornified layer of AKT1 knockdown organotypic cultures, surrounding retained nuclear material. Using AKT-phosphorylation-dead Lamin A constructs we show that  the retention of nuclear material is sufficient to cause profound changes in epidermal terminal differentiation, specifically a reduction in Loricrin, Keratin 1, Keratin 10, and filaggrin expression. We show that preventing nuclear degradation upregulates BMP2 expression and SMAD1 signalling. Consistent with these data, we observe both parakeratosis and evidence of increased SMAD1 signalling in atopic dermatitis. We therefore present a model that, in the absence of AKT1-mediated Lamin A/C degradation, DNA degradation processes, such as those mediated by DNAse 1L2, are prevented, leading to parakeratosis and changes in epidermal differentiation.  DOI: 10.1038/cdd.2015.62  PMCID: PMC4816115 [Available on 2016-12-01]	26045045
12. J Allergy Clin Immunol. 2015 Jul;136(1):205-208.e9. doi:	10.1016/j.jaci.2015.04.026. Epub 2015 May 28.  Thymic stromal lymphopoietin downregulates filaggrin expression by signal transducer and activator of transcription 3 (STAT3) and extracellular signal-regulated kinase (ERK) phosphorylation in keratinocytes.  Kim JH(1), Bae HC(1), Ko NY(1), Lee SH(1), Jeong SH(1), Lee H(1), Ryu WI(1), Kye  YC(1), Son SW(2).  Author information:  (1)Department of Dermatology and Division of Brain Korea 21 Project for Biomedical Science, Korea University College of Medicine, Seoul, Korea. (2)Department of Dermatology and Division of Brain Korea 21 Project for Biomedical Science, Korea University College of Medicine, Seoul, Korea. Electronic address: skin4u@korea.ac.kr.  DOI: 10.1016/j.jaci.2015.04.026 	26026341
13. Allergy. 2015 Jul;70(7):846-54. doi: 10.1111/all.12633. Epub 2015 May 7.	 Mutual upregulation of endothelin-1 and IL-25 in atopic dermatitis.  Aktar MK(1), Kido-Nakahara M(1), Furue M(1,)(2), Nakahara T(2).  Author information:  (1)Department of Dermatology, Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan. (2)Division of Skin Surface Sensing, Department of Dermatology, Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan.  BACKGROUND: Endothelin-1 (ET-1) has been reported to evoke histamine-independent  pruritus in mammals. However, its association with pruritus or inflammation of atopic dermatitis (AD) has not been clarified. We sought to investigate the role  of ET-1 in the skin inflammation of AD. METHODS: To examine the role of ET-1 in AD, we investigated the expression of ET-1 and IL-25 in the skin of an AD mouse model and patients with AD and examined the mutual regulatory relationship between ET-1 and IL-25, one of the important cytokines in AD, using the human HaCaT keratinocyte cell line. RESULTS: We immunohistochemically confirmed the upregulation of ET-1 and IL-25 expression in the epidermis of both the AD mouse model and patients with AD. In vitro, IL-25 upregulated ET-1 mRNA and protein expression in a concentration- and time-dependent fashion in HaCaT cells. This IL-25-induced ET-1 expression was inhibited by ERK1/2 or JNK inhibitor. In a reciprocal manner, ET-1 also induced IL-25 upregulation. The enhancing effect of ET-1 on IL-25 was inhibited by an endothelin A receptor antagonist, ERK1/2 inhibitor, or p38 inhibitor, but not by  an endothelin B receptor antagonist or JNK inhibitor. CONCLUSION: These findings suggest that mutual upregulation of ET-1 and IL-25 takes place in the epidermis of AD, which may be a future target for antipruritic agents.  © 2015 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd.  DOI: 10.1111/all.12633 	25903653
14. Handb Exp Pharmacol. 2015;226:219-35. doi: 10.1007/978-3-662-44605-8_13.	 Protease-activated receptors and itch.  Akiyama T(1), Lerner EA, Carstens E.  Author information:  (1)Department of Dermatology, Anatomy and Cell Biology/Temple Itch Center, Temple University School of Medicine, Philadelphia, PA, 19140, USA.  Protease-activated receptors (PARs) have been implicated in a variety of physiological functions, as well as somatosensation and particularly itch and pain. Considerable attention has focused on PARs following the finding they are upregulated in the skin of atopic dermatitis patients. The present review focuses on recent studies showing that PARs are critically involved in itch and sensitization of itch. PARs are expressed by diverse cell types including primary sensory neurons, keratinocytes, and immune cells and are activated by proteases that expose a tethered ligand. Endogenous proteases are also released from diverse cell types including keratinocytes and immune cells. Exogenous proteases  released from certain plants and insects contacting the skin can also induce itch. Increased levels of proteases in the skin contribute to inflammation that is often accompanied by chronic itch which is not predominantly mediated by histamine. The neural pathway signaling itch induced by activation of PARs is distinct from that mediating histamine-induced itch. In addition, there is evidence that PARs play an important role in sensitization of itch signaling under conditions of chronic itch. These recent findings suggest that PARs and other molecules involved in the itch-signaling pathway are good targets to develop novel treatments for most types of chronic itch that are poorly treated with antihistamines.  DOI: 10.1007/978-3-662-44605-8_13 	25861783
15. Am J Pathol. 2015 Jun;185(6):1575-87. doi: 10.1016/j.ajpath.2015.02.005. Epub	2015 Apr 3.  Mast cells are dispensable in a genetic mouse model of chronic dermatitis.  Sulcova J(1), Meyer M(1), Guiducci E(1), Feyerabend TB(2), Rodewald HR(2), Werner S(3).  Author information:  (1)Department of Biology, Institute of Molecular Health Sciences, ETH Zurich, Zurich, Switzerland. (2)German Cancer Research Center, Heidelberg, Germany. (3)Department of Biology, Institute of Molecular Health Sciences, ETH Zurich, Zurich, Switzerland. Electronic address: sabine.werner@biol.ethz.ch.  Chronic inflammatory skin diseases, such as atopic dermatitis, affect a large percentage of the population, but the role of different immune cells in the pathogenesis of these disorders is largely unknown. Recently, we found that mice  lacking fibroblast growth factor receptor 1 (Fgfr1) and Fgfr2 (K5-R1/R2 mice) in  the epidermis have a severe impairment in the epidermal barrier, which leads to the development of a chronic inflammatory skin disease that shares many features  with human atopic dermatitis. Using Fgfr1-/Fgfr2-deficient mice, we analyzed the  consequences of the loss of mast cells. Mast cells accumulated and degranulated in the skin of young Fgfr1-/Fgfr2-deficient mice, most likely as a consequence of increased expression of the mast cell chemokine Ccl2. The increase in mast cells  occurred before the development of histological abnormalities, indicating a functional role of these cells in the inflammatory skin phenotype. To test this hypothesis, we mated the Fgfr1-/Fgfr2-deficient mice with mast cell-deficient CreMaster mice. Surprisingly, loss of mast cells did not or only mildly affect keratinocyte proliferation, epidermal thickness, epidermal barrier function, accumulation and activation of different immune cells, or expression of different proinflammatory cytokines in the skin. These results reveal that mast cells are dispensable for the development of chronic inflammation in response to a defect in the epidermal barrier.  Copyright © 2015 American Society for Investigative Pathology. Published by Elsevier Inc. All rights reserved.  DOI: 10.1016/j.ajpath.2015.02.005 	25843682
16. J Dermatol Sci. 2015 Jun;78(3):206-14. doi: 10.1016/j.jdermsci.2015.03.004. Epub 	2015 Mar 16.  IL-9 induces IL-8 production via STIM1 activation and ERK phosphorylation in epidermal keratinocytes: A plausible mechanism of IL-9R in atopic dermatitis.  Hong CH(1), Chang KL(2), Wang HJ(3), Yu HS(4), Lee CH(5).  Author information:  (1)Graduate Institute of Medicine, College of Medicine, Kaohsiung Medical University, Kaohsiung, Taiwan; Department of Dermatology, Kaohsiung Veterans General Hospital, Kaohsiung, Taiwan; Department of Dermatology, National Yang-Ming University College of Medicine, Taipei, Taiwan. (2)Department of Biochemistry, College of Medicine, Kaohsiung Medical University, Kaohsiung, Taiwan. (3)Department of Urology, Kaohsiung Chang Gung Memorial Hospital, Kaohsiung, Taiwan. (4)Department of Dermatology, Kaohsiung Medical University, Kaohsiung, Taiwan; National Environmental Health Research Center, National Health Research Institute, Miao-Li, Taiwan. Electronic address: dermyu@nhri.org.tw. (5)Department of Dermatology, Kaohsiung Chang Gung Memorial Hospital, Kaohsiung,  Taiwan; Department of Dermatology, Chang Gung University College of Medicine, Taoyuan, Taiwan. Electronic address: dermlee@gmail.com.  BACKGROUND: IL-9 and its receptor play important roles in the pathogenesis of asthma. Its role in atopic dermatitis (AD) was examined in just a few studies, including nucleotide polymorphisms, increased transcriptional levels of IL-9 and  IL-9R in diseased skin, and an association of blood IL-9 levels with clinical severity. OBJECTIVE: Little was known about the pathophysiological regulation of IL-9/IL-9R in AD skin. We asked whether IL-9R was expressed in epidermal keratinocytes; if so, what the functional outcome, cytokine production, and signaling pathway of IL-9/IL-9R in keratinocytes are. METHODS: We measured and compared the expression of IL-9R in skin from AD patients and controls by immunofluorescence. We also performed in vitro studies on the IL-9-treated primary keratinocytes, including flow cytometry for IL-9R expressions, Western blotting for mTOR, S6K, ERK, p38, and STAT3 activations, ELISA for cytokine levels, and immunofluorescence for STIM1. RESULTS: We found that IL-9R was indeed expressed in keratinocytes but not in fibroblasts. Its expression in keratinocytes was enhanced by IL-4 but not by TGF-beta1. IL-9 induced a moderate production of IL-8 but not CXCL16, CCL22, TSLP, nor IL-33. IL-9 induced formation of STIM1-puncta. IL-9 induced ERK phosphorylation both dose- and time-dependently, but not mTOR, S6K, p38, or STAT3. Pretreatment with U0126 (ERK inhibitor) but not rapamycin (mTOR inhibitor) abrogated the IL-9-mediated IL-8 production. Blockage of STIM1 with BTP2 or SKF96265 abrogated ERK phosphorylation and IL-8 production induced by IL-9. CONCLUSION: This study represents the first to show the regulation of the IL-9-STIM1-ERK-IL-8 axis in keratinocyte, and how the axis might play an important role in the pathophysiology of AD.  Copyright © 2015 Japanese Society for Investigative Dermatology. Published by Elsevier Ireland Ltd. All rights reserved.  DOI: 10.1016/j.jdermsci.2015.03.004 	25840641
17. J Dermatol Sci. 2015 Jun;78(3):215-23. doi: 10.1016/j.jdermsci.2015.02.021. Epub 	2015 Mar 12.  Th2 cytokines enhance TrkA expression, upregulate proliferation, and downregulate differentiation of keratinocytes.  Matsumura S(1), Terao M(2), Murota H(1), Katayama I(1).  Author information:  (1)Department of Dermatology, Graduate School of Medicine, Osaka University, 2-2  Yamadaoka, Suita 565-0871, Osaka, Japan. (2)Department of Dermatology, Graduate School of Medicine, Osaka University, 2-2 Yamadaoka, Suita 565-0871, Osaka, Japan. Electronic address: mterao@derma.med.osaka-u.ac.jp.  BACKGROUND: Nerve growth factor (NGF), a neurotrophin that plays a critical role  in developmental neurobiology, is released by proliferating keratinocytes and induces proliferation. OBJECTIVE: The aim of this study was to investigate the role of tyrosine kinase receptor A (TrkA), a high-affinity receptor of NGF, in human keratinocytes. METHODS: Expression of TrkA and NGF in skin diseases was investigated by immunohistochemistry. Expression of TrkA in cells was examined by Western blotting and RT-PCR. Cell proliferation was assessed by BrdU assay. RESULTS: We first determined the expression of TrkA and NGF in skin samples from  patients with atopic dermatitis, prurigo nodularis, psoriasis vulgaris, and seborrheic keratosis. TrkA was only expressed in proliferating basal cells, and its expression was enhanced in atopic dermatitis samples. NGF expression was enhanced in atopic dermatitis and prurigo nodularis samples and in some samples from seborrheic keratosis patients. Investigation of the role of TrkA in vitro using normal human epidermal keratinocytes (NHEK) revealed that TrkA was significantly enhanced by the T helper type 2 (Th2) cytokines interleukin (IL)-4  and IL-13 but not by other inflammatory cytokines, such as IL-1β, tumor necrosis  factor α, interferon γ, or epidermal growth factor. On the other hand, expression of NGF was not altered by Th2 cytokines. Notably, inhibition of TrkA significantly reversed the effects of IL-4 on proliferation and differentiation.  Furthermore, overexpression of TrkA enhanced proliferation of NHEK. These results indicate that IL-4-induced TrkA expression in keratinocytes modulates proliferation and differentiation of these cells. CONCLUSION: Increased TrkA expression in keratinocytes in atopic dermatitis may contribute to the observed epidermal hyperproliferation in these patients.  Copyright © 2015 Japanese Society for Investigative Dermatology. Published by Elsevier Ireland Ltd. All rights reserved.  DOI: 10.1016/j.jdermsci.2015.02.021 	25823576
18. J Invest Dermatol. 2015 Aug;135(8):2109-18. doi: 10.1038/jid.2015.110. Epub 2015 	Mar 19.  The Tumor Necrosis Factor Superfamily Molecule LIGHT Promotes Keratinocyte Activity and Skin Fibrosis.  Herro R(1), Antunes Rda S(1), Aguilera AR(1), Tamada K(2), Croft M(1).  Author information:  (1)Division of Immune Regulation, La Jolla Institute for Allergy and Immunology,  La Jolla, California, USA. (2)Department of Immunology, Yamaguchi University School of Medicine, Yamaguchi, Japan.  Several inflammatory diseases including scleroderma and atopic dermatitis display dermal thickening, epidermal hypertrophy, or excessive accumulation of collagen.  Factors that might promote these features are of interest for clinical therapy. We previously reported that LIGHT, a TNF superfamily molecule, mediated collagen  deposition in the lungs in response to allergen. We therefore tested whether LIGHT might similarly promote collagen accumulation and features of skin fibrosis. Strikingly, injection of recombinant soluble LIGHT into naive mice, either subcutaneously or systemically, promoted collagen deposition in the skin and dermal and epidermal thickening. This replicated the activity of bleomycin, an antibiotic that has been previously used in models of scleroderma in mice. Moreover skin fibrosis induced by bleomycin was dependent on endogenous LIGHT activity. The action of LIGHT in vivo was mediated via both of its receptors, HVEM and LTβR, and was dependent on the innate cytokine TSLP and TGF-β. Furthermore, we found that HVEM and LTβR were expressed on human epidermal keratinocytes and that LIGHT could directly promote TSLP expression in these cells. We reveal an unappreciated activity of LIGHT on keratinocytes and suggest  that LIGHT may be an important mediator of skin inflammation and fibrosis in diseases such as scleroderma or atopic dermatitis.  DOI: 10.1038/jid.2015.110  PMCID: PMC4504809	25789702
19. J Histochem Cytochem. 2015 May;63(5):329-39. doi: 10.1369/0022155415575028. Epub 	2015 Feb 11.  Suitability of Nicotinic Acetylcholine Receptor α7 and Muscarinic Acetylcholine Receptor 3 Antibodies for Immune Detection: Evaluation in Murine Skin.  Rommel FR(1), Raghavan B(1), Paddenberg R(1), Kummer W(1), Tumala S(1), Lochnit G(1), Gieler U(1), Peters EM(2).  Author information:  (1)Psychoneuroimmunology Laboratory, Department of Psychosomatic Medicine and Psychotherapy (FRR, BR, ST, EMJP), Justus Liebig University, Giessen, GermanyInstitute of Anatomy and Cell Biology (RP, WK), Justus Liebig University,  Giessen, GermanyInstitute of Biochemistry (GL), Justus Liebig University, Giessen, GermanyCharité Center 12 for Internal Medicine and Dermatology, Universitätsmedizin Charité, Berlin, Germany (EMJP)Department of Dermatology, University Hospital Giessen, Giessen, Germany (UG). (2)Psychoneuroimmunology Laboratory, Department of Psychosomatic Medicine and Psychotherapy (FRR, BR, ST,  EMJP), Justus Liebig University, Giessen, GermanyInstitute of Anatomy and Cell Biology (RP, WK), Justus Liebig University, Giessen, GermanyInstitute of Biochemistry (GL), Justus Liebig University, Giessen, GermanyCharité Center 12 for Internal Medicine and Dermatology, Universitätsmedizin Charité, Berlin, Germany (EMJP)Department of Dermatology, University Hospital Giessen, Giessen, Germany (UG) eva.peters@eva-peters.com.  Recent evidence reveals a crucial role for acetylcholine and its receptors in the regulation of inflammation, particularly of nicotinic acetylcholine receptor α7 (Chrna7) and muscarinic acetylcholine receptor 3 (Chrm3). Immunohistochemistry is a key tool for their cellular localization in functional tissues. We evaluated nine different commercially available antibodies on back skin tissue from wild-type (Wt) and gene-deficient (KO) mice. In the immunohistochemical analysis, we focused on key AChR-ligand sensitive skin cells (mast cells, nerve fibers and  keratinocytes). All five antibodies tested for Chrm3 and the first three Chrna7 antibodies stained positive in both Wt and respective KO skin. With the 4th antibody (ab23832) nerve fibers were unlabeled in the KO mice. By western blot analysis, this antibody detected bands in both Wt and Chrna7 KO skin and brain. qRT-PCR revealed mRNA amplification with a primer set for the undeleted region in both Wt and KO mice, but none with a primer set for the deleted region in KO mice. By 2D electrophoresis, we found β-actin and β-enolase cross reactivity, which was confirmed by double immunolabeling. In view of the present results, the tested antibodies are not suitable for immunolocalization in skin and suggest thorough control of antibody specificity is required if histomorphometry is intended.  © The Author(s) 2015.  DOI: 10.1369/0022155415575028  PMCID: PMC4409945	25673288
20. Exp Dermatol. 2015 Apr;24(4):317-9. doi: 10.1111/exd.12660.	 Evaluation of antimicrobial peptides and cytokine production in primary keratinocyte cell culture from healthy and atopic beagles.  Santoro D(1), Ahrens K, Marsella R, Segre M.  Author information:  (1)Department of Small Animal Clinical Sciences, University of Florida, Gainesville, FL, USA; Department of Dermatology, College of Medicine, University  of Florida, Gainesville, FL, USA.  Increased secretion of antimicrobial peptides and cytokines is present in atopic  skin. The purpose of this study was to compare the production of β-defensin (cBD)3-like, cathelicidin (cCath) and cytokines in atopic and healthy canine keratinocytes. Seven atopic house dust mites (HDMs) sensitive and five healthy age-matched beagles were used. Keratinocytes were stimulated for 24 h, and the supernatant was collected. A significantly higher production of cBD3-like was present at baseline in atopic compared with healthy keratinocytes, but cBD3-like  did not increase after stimulation. IL-17 and lipopolysaccharide increased cBD3-like in healthy compared with atopic keratinocytes. cCath increased in both  groups after stimulation. Atopic keratinocytes exposed to HDM produced more IL-8  and keratinocyte-derived chemokine-like than healthy keratinocytes. Exposure to HDM induced an increased IL-8 in atopic keratinocytes and a decreased IFN-γ in healthy keratinocytes. These results may suggest an over sensitization of atopic  keratinocytes and a possible impairment of the cutaneous defense against micro-organisms.  © 2015 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd.  DOI: 10.1111/exd.12660 	25660992
